product_id,position_msk,position_spb,position_nvsb,position_hab,position_ekb,position_kaz,position_kras,delivery_efficiency_wh_avg_pos,discount,product_rating,seller_rating,price,quantity,proceeds,orders
3679914,,,,,169.0,,,0,57.5,0,0,1120.4,6,670728,595
3774438,,,155.0,,,,,0,56.67,0,0,1128.7,450,308184,274
3865968,,,,,177.0,,,0,55.9,0,0,1153.07,451,166472,146
4051515,87.0,67.0,42.0,89.0,48.0,83.0,82.0,0,72.17,0,0,990.53,2365,3431751,3440
4311249,,,182.0,,,,,0,57.8,0,0,1106.3,169,21996,19
4311250,,,139.0,,191.0,,,0,56.9,0,0,1129.93,527,214271,188
4537426,,,137.0,,,,,0,55.27,0,0,971.57,1367,515034,534
6194440,,,151.0,,,,,0,56.43,0,0,1139.87,439,178961,158
6219000,,,169.0,,,,,0,59.03,0,0,1069.0,79,171466,157
6877513,,,191.0,,,,,0,56.1,0,0,1152.9,433,70520,61
6887892,77.0,96.0,38.0,71.0,41.0,66.0,70.0,0,46.53,0,0,1355.2,3726,1528182,1144
7250480,29.0,24.0,17.0,27.0,44.0,31.0,28.0,0,55.23,0,0,920.1,1881,1619873,1771
7265631,,,153.0,,,,,0,56.7,0,0,1133.87,777,491321,434
7410258,,,173.0,,,,,0,60.43,0,0,1038.23,583,45865,44
7460943,,,112.0,,,,,0,55.87,0,0,1151.77,488,305340,268
7785103,,,167.0,,,,,0,55.9,0,0,1152.67,303,115104,100
8271650,,,146.0,,,,,0,55.8,0,0,1153.47,357,172425,148
8271651,,,157.0,,,,,0,55.9,0,0,1153.17,343,191983,165
8271654,,,190.0,,,,,0,58.7,0,0,1080.37,270,243705,226
10321374,,,174.0,,,,,0,55.8,0,0,1156.3,113,71836,61
10321375,,,140.0,,,,,0,56.37,0,0,1138.3,399,250255,218
10845175,25.0,20.0,44.0,23.0,27.0,22.0,24.0,0,56.5,0,0,898.13,1137,2455205,2740
10901739,,,194.0,,,,,0,54.13,0,0,1002.63,122,105170,104
10901747,,,172.0,,,,,0,55.67,0,0,967.8,662,174899,180
10901748,,,178.0,,,,,0,56.5,0,0,951.83,815,504388,529
12466789,,,,,165.0,,,0,62.13,0,0,1051.03,2667,772238,752
13064544,78.0,56.0,39.0,74.0,43.0,67.0,71.0,0,60.73,0,0,1091.3,4085,1923726,1776
15689755,,,175.0,,,,,0,65.7,0,0,1003.57,277,584347,594
16638428,,,154.0,,,,,0,56.23,0,0,1144.33,634,468620,406
17528769,,,195.0,,,,,0,56.73,0,0,886.57,825,578002,645
18782165,,,126.0,,,,,0,54.27,0,0,1352.47,349,611225,459
19323286,18.0,50.0,87.0,40.0,51.0,36.0,42.0,0,90.63,0,0,986.67,694,1382632,1402
25653025,,,158.0,,,,,0,54.53,0,0,1189.6,291,141447,120
32750734,68.0,,128.0,,,,,0,61.17,0,0,1095.5,2200,1621240,1485
34248591,,,118.0,,,,,0,53.63,0,0,810.4,1511,2318668,2883
35497578,,,156.0,,,,,0,54.47,0,0,714.17,3901,4353978,6142
54666393,,,188.0,,,,,0,55.8,0,0,1298.33,594,253826,193
60626556,,,152.0,,,,,0,56.03,0,0,1296.6,371,187566,144
64214453,89.0,69.0,,77.0,,138.0,81.0,0,55.23,0,0,1957.4,1782,2661170,1348
72825361,98.0,123.0,,90.0,,153.0,90.0,0,57.6,0,0,1864.37,479,2224411,1193
77425391,48.0,57.0,77.0,47.0,28.0,39.0,45.0,0,58.87,0,0,952.07,14496,5087613,5481
85803581,21.0,18.0,35.0,20.0,18.0,19.0,20.0,0,75.87,0,0,1626.87,1512,2023177,1234
88613904,,196.0,,,,,,0,20.87,0,0,1307.5,7942,188306,141
99801908,,,117.0,,160.0,,,0,62.0,0,0,1159.3,4686,568293,498
110273446,7.0,9.0,13.0,6.0,9.0,9.0,7.0,0,55.2,0,0,859.4,329,182036,224
111171848,153.0,198.0,58.0,148.0,77.0,124.0,140.0,0,31.47,0,0,988.97,2066,306366,310
112973493,,145.0,,,,174.0,198.0,0,51.5,0,0,679.77,978,284233,414
113163067,8.0,6.0,9.0,,7.0,7.0,13.0,0,56.83,0,0,792.07,981,73289,107
113290841,180.0,115.0,70.0,170.0,,,168.0,0,54.83,0,0,949.0,2567,8773712,9359
113375948,,187.0,,,,,,0,53.37,0,0,922.1,3347,357745,382
113377229,,,141.0,,196.0,,,0,52.87,0,0,937.37,2801,386654,411
114526548,,147.0,,,,176.0,197.0,0,54.53,0,0,936.3,2602,5744448,6198
114950601,81.0,59.0,,80.0,103.0,71.0,74.0,0,20.97,0,0,1463.2,188,312701,220
116676542,121.0,151.0,,110.0,150.0,101.0,108.0,0,52.33,0,0,727.1,3835,3357931,4757
124807252,,,,,,198.0,,0,70.24,0,0,864.55,2223,258553,324
131607842,69.0,84.0,31.0,69.0,38.0,78.0,65.0,0,49.77,0,0,934.0,169,810148,870
141390405,169.0,,65.0,145.0,197.0,139.0,158.0,0,57.8,0,0,1861.1,1457,1269179,676
146243073,,,125.0,,,,,0,41.23,0,0,634.73,787,181519,285
146249522,,,,,,200.0,,0,43.13,0,0,612.97,814,339862,557
146931113,80.0,61.0,,76.0,192.0,130.0,75.0,0,56.63,0,0,1900.07,751,2820012,1480
147010993,6.0,8.0,8.0,5.0,6.0,6.0,6.0,0,57.7,0,0,931.43,1266,332180,374
147547768,150.0,192.0,56.0,146.0,,,139.0,0,56.87,0,0,1376.33,68,140555,101
155791343,,,193.0,,,,,0,54.83,0,0,1232.9,417,193380,158
155948900,,,181.0,,,,,0,51.73,0,0,992.13,443,387188,407
158638111,10.0,13.0,21.0,,17.0,14.0,8.0,0,65.47,0,0,656.77,382,234927,394
158640285,12.0,14.0,19.0,9.0,14.0,12.0,10.0,0,70.37,0,0,569.67,348,350956,817
162417009,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,23.53,0,0,822.13,2769,3869511,4849
162422264,83.0,62.0,142.0,82.0,47.0,74.0,77.0,0,19.3,0,0,694.27,4149,532277,807
164400122,,,91.0,,126.0,,,0,73.6,0,0,1154.87,87,45269,40
164679629,184.0,,,173.0,94.0,165.0,173.0,0,55.37,0,0,626.3,705,339431,543
166624641,115.0,172.0,,,143.0,95.0,104.0,0,53.57,0,0,972.03,35,3872,4
167584225,24.0,19.0,15.0,21.0,20.0,21.0,23.0,0,61.17,0,0,857.0,3057,671667,760
171612187,148.0,184.0,55.0,139.0,76.0,120.0,138.0,0,28.8,0,0,1377.0,359,938812,683
174225349,91.0,109.0,149.0,81.0,49.0,77.0,83.0,0,66.57,0,0,1567.37,1680,1888895,1211
175414040,,,147.0,,,,,0,57.07,0,0,1122.73,305,288302,258
176030361,173.0,,,165.0,,144.0,162.0,0,73.77,0,0,765.9,2189,377308,504
176854224,,,180.0,,,,,0,57.87,0,0,1105.17,727,161241,146
177307207,,,,,199.0,,,0,50.53,0,0,692.27,988,93541,137
177376064,188.0,121.0,,175.0,,151.0,176.0,0,52.13,0,0,671.8,816,145175,218
177964403,198.0,,,185.0,,162.0,183.0,0,58.77,0,0,2288.47,399,718515,317
182235080,134.0,91.0,,135.0,66.0,,126.0,0,29.13,0,0,1304.97,4307,5739314,4323
185225150,,,148.0,,,,,0,55.4,0,0,626.53,393,80081,128
186185276,,,,,170.0,,,0,41.8,0,0,647.5,5753,2686642,4222
186780300,,,,,180.0,,,0,57.13,0,0,1184.13,95,220216,183
190165456,,,161.0,,,,,0,51.93,0,0,1301.03,479,42658,33
208337828,,,171.0,,,,,0,55.1,0,0,1180.67,285,530897,452
212183022,82.0,101.0,143.0,84.0,46.0,72.0,76.0,0,24.8,0,0,1816.17,93,594995,318
